ID	Year of Study	Acquired Skills
18789	4	Robotics, Static Structures
15007	3	C++
19874	4	Security, Java, Probability, Compilation
16908	5	Dynamic Structures, Robotics, Mathematics
12238		Design, Web Development, Software Engineering
13902	4	Statistics, Mathematics
11944	3	Security, Mathematics, Static Structures, Python
12848	4	Mathematics, Design
13706		Robotics, Web Development, Static Structures, Compilation
16137	5	Compilation
19333	2	Static Structures, Web Development
19344	1	Compilation, Algorithmic, Static Structures, Security
13072	2	Mathematics, Probability
18852	4	Robotics, Security, Web Development
12524	2	Java
16987		Robotics, Security
14684		Robotics, Probability
11549	1	C++
13247	5	Robotics, Python, C++
10499	2	Python, Mathematics
13819	4	Compilation
10660	4	Design, Static Structures, Robotics, Security
14624	5	Software Engineering, Algorithmic, Static Structures
10512	4	Algorithmic
18828	1	C++, Software Engineering, Web Development
19903	5	
18327	5	C++, Python, Statistics, Java
12612	2	Design, Software Engineering, Static Structures, Dynamic Structures, Java
14246	1	Security, Compilation, Robotics, C++
11035	4	Design, Security
13135	4	Software Engineering, Dynamic Structures, Mathematics, Java, C++
12654	1	Static Structures, Software Engineering, Probability, Python, Design
17798	1	Algorithmic, Web Development, Probability, Python
14557	1	Web Development, Robotics, Compilation
15268	2	Mathematics, C++, Compilation, Java
10262	2	Java, Design, Mathematics
16651	2	C++, Static Structures, Security
13277	5	Design, Java, Algorithmic
15129	3	Web Development, Algorithmic, Python, Dynamic Structures
13243	2	Python, Static Structures, Dynamic Structures, Probability, Compilation
14872	1	Compilation, Security, Mathematics
17461	1	Python, Robotics, C++, Design, Algorithmic
16371	1	C++, Dynamic Structures, Design, Java, Software Engineering
11984	3	Compilation, Software Engineering, Probability, Static Structures, Mathematics
15402	3	Statistics, Probability, Robotics
19867	5	Design, Static Structures, C++, Security
11486	4	Python, Software Engineering
17009	2	Compilation, Algorithmic
13089	3	Probability, Robotics, Security, Software Engineering, Design
14183	3	Mathematics
12735	5	Design, Software Engineering, Mathematics
18177	3	Probability, C++, Compilation
15201	3	Java, Static Structures, C++, Security, Web Development
11474	3	Algorithmic, Web Development
10121	1	Algorithmic
17510	4	Dynamic Structures, Web Development, Static Structures, Security
12718	4	Static Structures, Probability, Python, Compilation
19370	3	Static Structures
17843	1	Dynamic Structures, Software Engineering, Compilation, Design, Robotics
17125	5	Java, Security, Dynamic Structures
13587	4	C++
12188	1	Java, Algorithmic
16626	2	Algorithmic, Mathematics, Robotics, Software Engineering
17367	2	Python, Static Structures, Web Development, C++
12247		Algorithmic, Dynamic Structures
18581	1	Static Structures
11618	2	Compilation
16378	4	Python, Compilation, Java
18088	4	Software Engineering, Statistics
15663	4	Static Structures, Compilation, Java, Robotics, Software Engineering
16972	5	Python, Web Development, Software Engineering
13257	5	Algorithmic, Software Engineering
18155	3	Probability, Web Development, Mathematics
11363	4	Probability
10165	5	C++
13967	4	C++, Software Engineering
15077	1	C++, Algorithmic, Security, Mathematics, Software Engineering
17487	2	Java, Statistics, Security, Dynamic Structures, Design
18780	5	Robotics, Security, Static Structures
13494	3	Design
16669	1	Mathematics
11225	2	Dynamic Structures
19976	2	Robotics, Algorithmic, Static Structures, Web Development, Probability
10049	1	Software Engineering, Dynamic Structures, Design, Web Development, Robotics
18878	1	Robotics
11307	2	Web Development, Static Structures
19676	1	Python, Design, C++, Statistics, Software Engineering
18542	2	Security, Dynamic Structures
11349	3	Compilation, Software Engineering, Java, Dynamic Structures, Mathematics
12114	1	Software Engineering, Security, Probability, Web Development
16836	4	Design, Algorithmic, C++, Software Engineering, Robotics
12090	3	Static Structures, Python, Mathematics, Robotics, Software Engineering
11633	2	Mathematics, Compilation, Design, Software Engineering, Dynamic Structures
12305	3	Statistics
16940	3	Probability, Algorithmic, Python
15951	2	Robotics
17350		Compilation, Java
19137	5	Robotics, C++, Design
12900	5	Static Structures, Statistics, Software Engineering, Security
14805	2	Python
11599	3	Statistics, Mathematics, Java, Robotics
16761	3	Static Structures, Probability, C++
18294	3	Java, Python
18220	2	Mathematics, Dynamic Structures, Robotics, Software Engineering, Java
19005	4	Algorithmic, Mathematics, Dynamic Structures, C++, Design
11881		Java, Mathematics, Design
13642	4	Static Structures, Dynamic Structures
17089	2	Statistics
14339	5	Statistics, Java, Design, Software Engineering
16684	5	Web Development, C++, Java
12797	2	Web Development, Security, Algorithmic, Design
16296	1	Design, Mathematics, C++
11366	2	Java
16554	2	Design, Robotics, Security, Software Engineering, Static Structures
17112	3	Static Structures, Statistics, Probability, Web Development
11606	2	Mathematics, C++, Static Structures
19270	2	Static Structures, Security, Python, Mathematics, Java
18998	4	Design, Algorithmic
11874	2	Probability, Algorithmic, Statistics
14666	5	Security
19584	1	C++, Design
17023	2	Security
13253	3	Algorithmic
13846	2	Robotics, Algorithmic, Java, Statistics
13585	5	Probability, Algorithmic, Dynamic Structures
10595	4	Mathematics, Static Structures
13465	4	Static Structures, Web Development
10530	4	Design, Python, Dynamic Structures, Compilation
16108		Mathematics, Compilation, Robotics
12988	3	Python, Compilation, Software Engineering, Web Development, Security
15111	3	Security, Robotics, Java
11843	3	Security, Design
14650	1	Static Structures, Security
13975	2	Probability, Robotics, Algorithmic, Java
14537	1	
18085	3	Static Structures, Algorithmic
13872		Security, Python, C++, Software Engineering
18354	3	Security, Algorithmic
19488	1	Statistics
12063	3	Algorithmic, Static Structures, Design, Probability
15703	1	
18373	2	Java, Probability, Python, Compilation
17992	1	Java, Security
15145	1	Statistics
19681	4	Software Engineering, C++, Dynamic Structures, Web Development, Security
14887	2	Mathematics
11591	5	Web Development, Java, Probability
11702	4	Design, C++
15896	1	Robotics, Mathematics
18539	5	Web Development, Compilation, Design, Statistics
18413	4	
18538	5	Mathematics, C++
14523	5	Probability, Web Development, Security
15180	3	Design, Mathematics
15511	4	Statistics, Security
10129	2	Mathematics, Design, Python
14165	1	Mathematics, Dynamic Structures, Software Engineering, Probability, Design
10615	5	Static Structures, Security, Design, Statistics
10910	4	Mathematics, Robotics, Static Structures
14074	4	Security, Mathematics, Algorithmic, Dynamic Structures, Compilation
17091	5	Statistics, C++, Design
11313	5	
10753	2	Mathematics, Software Engineering, Python, Java
11799	4	Java, Statistics, Robotics, Algorithmic
13032	2	Dynamic Structures
11292	3	Static Structures, Dynamic Structures, Compilation, Algorithmic
13056	1	Security, Algorithmic, Software Engineering, Statistics, Compilation
14515	2	Web Development, Software Engineering, Mathematics, Design, Probability
10725	2	Design, Static Structures, Mathematics
19343	1	C++, Compilation
16817	4	Mathematics, Security, Python
12790	2	Mathematics, Algorithmic, Software Engineering, Probability
17175	2	Software Engineering, Mathematics, Dynamic Structures, Statistics, C++
18208	4	Compilation, Robotics, Web Development, Statistics
17824	4	Security, Static Structures
18040	4	Robotics, Static Structures, Python, C++, Security
12313		Security, Design, Mathematics, Web Development, Python
18160		Python, Dynamic Structures, Algorithmic
16550	2	Dynamic Structures, Probability, Static Structures
16915	5	Statistics
18465	2	Algorithmic
12929		Compilation, Java, Static Structures
12508	3	Static Structures, Algorithmic, C++, Mathematics, Security
14111	2	Dynamic Structures, Java, Probability
17171	1	Robotics
16913	2	Python, Software Engineering, Static Structures, Compilation
18689	4	Security, Java, Mathematics, Web Development, Python
15834	3	
16148	2	Robotics, Web Development, Algorithmic
10862	4	Robotics, Security
10181	1	Python, Algorithmic
13750	5	Python
12390	5	Statistics
18370	1	Security, Compilation, Robotics, C++
11653	1	Compilation, Design, Mathematics
18607	4	Dynamic Structures, Probability, Static Structures, Security, Compilation
11939	5	Probability, Robotics
13037	4	Mathematics, Statistics
13418	3	Probability, Algorithmic
12201	1	Statistics, Compilation
16702	4	Robotics, C++, Software Engineering, Python, Dynamic Structures
19211	1	
12807	1	Mathematics, Static Structures
19985	1	Compilation, Security
15739	5	Java, Static Structures
17548	4	Java, Static Structures, Python, Robotics
13506	5	Robotics, Statistics
17348	3	Dynamic Structures, Static Structures, Algorithmic, Security, Python
19371		
10923	3	Design, Python
14445	1	Design
13558	2	Python, Probability, Design
12556	2	Security, Probability, Web Development
14593	5	Dynamic Structures
10099	5	Algorithmic
15044	3	Mathematics
12996	1	Web Development, Design, Dynamic Structures, Robotics, Software Engineering
17574	2	Web Development
17153	3	Compilation, Static Structures, Dynamic Structures, Robotics
16979	1	
13794	4	Compilation, C++, Algorithmic
13636		Robotics, Python
13499	1	Mathematics
18641	3	Design, C++, Python, Algorithmic
19808	2	Robotics, Algorithmic, Static Structures
10966	1	Robotics, Mathematics, Algorithmic, Statistics
16727	1	Web Development, Probability, Algorithmic, Java
15055	3	Dynamic Structures, Python
13891	1	Java, Software Engineering
15635	2	Mathematics, Compilation, Java
13984	2	Static Structures, Security
18588	3	Robotics, C++, Mathematics
13329	5	Algorithmic
16080	2	Dynamic Structures, Compilation, Static Structures
16320	3	Robotics, Python, Compilation, Algorithmic, Design
10339	5	Security
12181	3	Python, Dynamic Structures, C++, Security, Static Structures
13420	4	Python, Compilation
14556	4	Robotics, Java, Python, Dynamic Structures, Algorithmic
11019	3	
11489	3	Probability, Web Development, Python
19110	1	
13396	5	Dynamic Structures, Algorithmic, Mathematics
13752	5	Compilation, Mathematics, Dynamic Structures, C++
18036	3	Software Engineering, Design, Statistics, Static Structures
17179	3	Software Engineering, Static Structures, Statistics, Dynamic Structures, Python
15010	5	Java, Software Engineering, Probability
18452	5	Security
14007	4	C++, Compilation
19931	4	Algorithmic, Compilation
19891	1	Security, Probability, Robotics, Mathematics, Static Structures
13969	3	Statistics, Software Engineering, Design
12340	2	Probability, Static Structures
17334		C++, Design, Statistics, Mathematics
14638		Statistics
16711	3	Static Structures
16986	1	Algorithmic
11515	4	Design, Java, Compilation, Dynamic Structures, Python
17246	1	
10800	1	Software Engineering
14174	3	
13565	2	Compilation
18175	1	
18222	1	Web Development, Python
14812	1	Security
10993	4	Python
19033	5	Mathematics, C++, Statistics, Probability
17387	4	Compilation, Robotics, Design, Algorithmic, Statistics
18917	5	Statistics, Security, Static Structures, Design, Compilation
14395	4	C++, Statistics, Dynamic Structures, Python, Static Structures
14084	5	Java, Compilation, Mathematics, Statistics, Design
13838	5	Dynamic Structures, Probability, Static Structures, Statistics, Security
18299	2	Compilation, Robotics, Java
14534	5	Web Development, Java
12598	5	Compilation
17531	2	Software Engineering, Robotics, Security, Compilation
14358	1	Static Structures, Probability, Compilation, Software Engineering, Mathematics
13131	2	Software Engineering, Java
11269	2	Mathematics, Compilation, Java
11951	3	Web Development, Dynamic Structures, Python
15757	1	
15840	1	Algorithmic, Security, Statistics
11625	3	Robotics, Java, Static Structures
18346	3	Python, C++, Robotics, Mathematics
16732	2	Compilation, Software Engineering, Python
12628	2	Statistics, Mathematics, Robotics, Probability
11096	4	Algorithmic, Compilation, Dynamic Structures
17726		Algorithmic, Statistics, Software Engineering, Python, Dynamic Structures
18865	1	Security, Robotics
19694	4	Design, Algorithmic, Java
18933	5	Compilation, Python, Mathematics, Statistics, Web Development
17955	3	Python, Static Structures, Statistics, Java, Dynamic Structures
13731	5	Dynamic Structures, Mathematics
18958	4	Probability
16472	2	Robotics, Static Structures, Algorithmic, Statistics, Compilation
15591	4	Algorithmic, Software Engineering, Robotics, C++
19022	1	Design, Algorithmic
18050	1	Static Structures, Python, Robotics
17783	3	Statistics, Dynamic Structures, Mathematics, Python
11355	5	Static Structures
14867		Python, Probability, Compilation
15372	1	Statistics
16885	5	Java, Security, Statistics, Python, Design
19326	4	Design, Web Development
13852	4	Dynamic Structures, Design
16914	2	Compilation
13800	4	Software Engineering, Static Structures, C++, Java
19885	2	Java, Dynamic Structures, Python, Static Structures
17880		Statistics, Security
17120		C++, Static Structures, Python
12312	3	Design, Compilation, Mathematics
17943	5	C++, Java, Dynamic Structures, Static Structures
19699	1	Web Development, Probability, Java
18405	1	Static Structures, Web Development, Compilation, Dynamic Structures
15969	1	Java
15622	4	Probability, Security, C++
19245	5	
15687	5	Design, Web Development, Statistics, C++, Mathematics
19099	4	Software Engineering, Python, Algorithmic
19271	4	
12901	1	Mathematics, Dynamic Structures, Compilation
16393	5	Dynamic Structures, Statistics, Web Development, Software Engineering, Java
12174	2	Mathematics
10196	3	Statistics, Algorithmic, Software Engineering, Static Structures
16403	1	Java
10775	3	Compilation, Probability
16693	1	Software Engineering, Java
15643	2	Security, Software Engineering, Dynamic Structures, Algorithmic
19501	1	Dynamic Structures, Probability
11970	1	Statistics, C++, Robotics, Static Structures, Web Development
17780	2	Software Engineering, Statistics, C++
12122	2	Static Structures, Algorithmic, Python, Mathematics
17329		Web Development, Algorithmic, Static Structures, Statistics, Compilation
18728	2	Probability, Java, Software Engineering
13568	5	Java
14063	3	Probability, Static Structures
16280	2	Python, Algorithmic, Dynamic Structures
15475	2	Java, Dynamic Structures
11746	3	Software Engineering, Mathematics
17373	3	Web Development, Dynamic Structures, Python, Mathematics, Software Engineering
15897	5	C++, Compilation, Security, Java, Probability
17980	2	Security
11573	4	Probability, Dynamic Structures
12766	5	Java, C++, Robotics, Design, Statistics
14270	1	Web Development
12984	3	Probability, Java, Python, Algorithmic
15972		Mathematics, Static Structures, Dynamic Structures, Security, Compilation
13758	5	Security, Software Engineering
13772	4	Compilation, C++
17827		Static Structures, Statistics
17688	4	Probability, Static Structures, Software Engineering, Robotics, Algorithmic
13165	1	Statistics, Static Structures
14070	5	Design, Compilation
17466	5	Java
12180	2	Java
16018	3	Security, Algorithmic, Robotics, Java, Dynamic Structures
18896	5	Security, Dynamic Structures, Compilation, Static Structures
17692	5	Mathematics
17904	2	Compilation, Web Development, Static Structures
18790	4	
13728	1	Statistics, Dynamic Structures
13129	3	Python, Static Structures, Web Development
16631	2	Algorithmic, Dynamic Structures, Mathematics
11186	2	Mathematics, Static Structures, Compilation, Security
18325	5	Python, C++, Mathematics
15954	1	C++, Robotics, Java, Security, Static Structures
12982	2	Security, Web Development, Mathematics, C++
10350	2	Software Engineering, Security, Design
11528	4	Statistics, Compilation, Static Structures, Java
13483	3	Compilation
16832	1	Python
17872	3	Mathematics, Software Engineering, Robotics, Dynamic Structures, Security
11510	3	Statistics
17613	2	Web Development, Java, Mathematics, Security, Probability
14255	3	Algorithmic, Software Engineering, Robotics, Dynamic Structures
14433	4	Algorithmic, Java
14894	2	Java, Design, Probability, C++, Static Structures
12059	1	Statistics, Python, Web Development, Mathematics, Design
19206	2	Compilation, Security, Design, Software Engineering, Dynamic Structures
18231	3	Security, Web Development
16449	4	
14777	1	Python, Statistics, Security, Mathematics
13500	5	Security, Static Structures, Algorithmic
18150	4	Statistics, Algorithmic
13471	1	Software Engineering, Design, Probability
12198	3	Mathematics, Probability
11297	3	Python, Java
17430	3	C++
19820		Mathematics, Static Structures, Statistics, Software Engineering
14833	3	Security
12084	4	Design
11521	4	Static Structures, Robotics
12842	1	Compilation, C++
18044	2	
15530	4	Web Development, Software Engineering, Algorithmic, Probability
10351	1	Static Structures
18936	5	Design, Dynamic Structures, Mathematics, Algorithmic, Python
12756	3	Statistics
18492	5	Design, Java, Probability
18876	2	Python, Static Structures, Dynamic Structures
18969	4	Python
10273	3	Design, Statistics, Static Structures, Dynamic Structures, Probability
14446	2	Software Engineering, Security, Java, Algorithmic, Python
17269	3	Software Engineering, Design, Compilation, Statistics
15487	3	Compilation, Software Engineering, Probability, Python
11441	4	Algorithmic, Web Development, Mathematics, Software Engineering, Python
15655	2	Java, Dynamic Structures, Robotics, Compilation
13259	4	Mathematics, Web Development, Statistics, Dynamic Structures, Algorithmic
14066	2	Web Development, Probability, C++, Software Engineering, Java
14703		Java
15866	5	Mathematics
17921	2	Mathematics
14250	5	C++, Algorithmic, Dynamic Structures, Mathematics, Java
19120	5	Python, Algorithmic, Design
16975		Software Engineering, Compilation, Security
18266	4	C++, Python, Robotics
12398	5	Statistics, Software Engineering, Algorithmic
16507	5	Algorithmic, Python
18912	4	C++
13270	2	Mathematics, Algorithmic, Robotics, Python, Software Engineering
11185	4	Probability
12232	2	Probability, Design, Software Engineering, Java, Statistics
14757	2	Web Development, Dynamic Structures, Java, Statistics
13807	3	Mathematics
12489	5	Design, Compilation
12653	3	Compilation
12468	3	Robotics, Algorithmic
11717	5	Python, Software Engineering, Security, Static Structures, Algorithmic
14809	3	
12985	4	Algorithmic, Compilation, Python
19132	4	Statistics
11948	3	Design
18014	3	C++, Compilation
16577	5	Design, Security, Compilation
14199	1	Java, C++, Compilation, Python, Mathematics
10619	3	Web Development, Algorithmic, Dynamic Structures, Robotics, Mathematics
14832	5	Java, Design, Algorithmic, Static Structures
12055	4	Java, Algorithmic, Statistics, C++
18844	2	Compilation, Java
16802	5	Mathematics, Statistics, Probability
12774	3	Python, Robotics, Web Development, Statistics
17887	4	Security
12850	5	Java
19177	4	Compilation, Probability, Statistics, Web Development, Dynamic Structures
17440	5	Security, Algorithmic, Python, C++, Java
12893	3	Probability, Mathematics, Web Development, Software Engineering
11915	5	Robotics, Static Structures, Security, C++
11925	1	Web Development
11792	1	Algorithmic
16881	3	Python, Static Structures, Algorithmic, Web Development
15980	4	Design, Statistics, Software Engineering
10522	4	Compilation
17400	2	Mathematics, Java, Python
13653	2	
17825	4	Statistics, Software Engineering, Security, Robotics
14796	2	Python, Software Engineering, Static Structures, Robotics, Statistics
12014	3	Robotics, Dynamic Structures, Web Development, Python
17254	2	Python
11218	4	Probability
13340	1	Statistics, Software Engineering, Dynamic Structures, Algorithmic, Static Structures
18131	3	Web Development, Mathematics
14716	2	Static Structures, Python, Security, C++, Statistics
16220	3	Robotics, Python, Statistics
17813	1	C++, Software Engineering, Probability, Mathematics, Web Development
15213	1	Compilation, Dynamic Structures, Static Structures, Web Development
18635	5	Java, Software Engineering, Mathematics
14679	1	Design, Probability, Mathematics, Web Development, Static Structures
18847	2	C++
12359	4	Robotics, Java, Python, Software Engineering, Static Structures
17638	2	Security, Static Structures
12053	3	Web Development, Static Structures, Python, Statistics, Design
17998	2	Design, Mathematics, Compilation, Algorithmic
15409	1	Python, Design, Probability, Dynamic Structures, Statistics
16238	1	Statistics, Robotics, Security
14040	3	C++
17136	3	Compilation, Software Engineering, Java
16903	2	Security
13437	4	
10897	1	Python, Web Development
13860	4	Dynamic Structures, Algorithmic, Probability, Statistics
11807	5	Java, Design, Security
12948	5	Security, Design, Dynamic Structures, Web Development, Static Structures
13015	2	Statistics, C++
19762	4	C++
17354	2	Robotics, Statistics
12347	5	Java
14189		Java, Probability, Static Structures
12980	4	Dynamic Structures
16343	2	Security, C++, Compilation
11453	5	Static Structures, Mathematics, Probability, Compilation
16933		Software Engineering, Static Structures, Probability, Mathematics, Security
10125	1	Compilation, Dynamic Structures
13334	4	Robotics, Python, Static Structures
12233	4	Security, Probability
14214	1	
19122	2	Algorithmic
13799	1	Web Development
16421	5	Java, Statistics, Mathematics, C++
13364		Static Structures
16993		Web Development, Robotics, C++
14184	2	C++, Design, Compilation, Dynamic Structures
19718	1	Web Development, Mathematics, Java, Security
11889	1	Mathematics, Statistics, Dynamic Structures, Java, C++
16456	2	Mathematics, Java
12108	4	Security, Web Development, Java
14643	3	Security
18018	3	Statistics, Python, C++
17607	4	Software Engineering
17910	1	Probability
16896	4	Software Engineering, Compilation
18788	3	Design
10101	1	Dynamic Structures, Software Engineering, Python, Mathematics, Web Development
13490	2	Web Development
10708	3	Statistics
16380	2	Design, Algorithmic
16147	2	Security, Java
14570	5	Software Engineering, Web Development
17434	5	C++
12547	1	Compilation, Design
16746	1	Algorithmic, Statistics
15022	2	C++, Design, Mathematics
14611	1	Software Engineering, C++, Mathematics
17741	2	Web Development, Algorithmic, Robotics
11952	1	Dynamic Structures, Software Engineering, Compilation, Static Structures, C++
13378	4	
15737	1	Compilation, Web Development, Design
11207	1	Security, Software Engineering
18512	1	C++, Security
13423	3	Python, Software Engineering
15490	3	Static Structures, Robotics, Probability, Mathematics
10110	3	Python
10990	4	Compilation, Statistics
17275	4	Design, Robotics, Security, Mathematics, C++
18794	2	Java, Security, Robotics, Algorithmic, Design
19574	3	Dynamic Structures
17511	2	Robotics, Static Structures, Design, Web Development
10662	2	Mathematics, Web Development, Software Engineering, C++
16713	2	Mathematics, Algorithmic, Java
15166		Web Development, Algorithmic, Statistics, Robotics, Software Engineering
17237	4	Mathematics, Robotics
11228	2	Python, Statistics, Java, Static Structures, Mathematics
17267	1	Web Development, Static Structures
19556	2	Web Development, Java, Algorithmic
19081	2	C++, Static Structures, Security, Web Development, Design
10012	3	Java, Static Structures
18824	5	
14167	1	Static Structures, Robotics, Java
10032	5	Robotics, Algorithmic, Design
10457	5	Design, Web Development, Compilation, Dynamic Structures
19756	4	Static Structures, Robotics, Dynamic Structures, C++, Algorithmic
11532	5	Static Structures, Security, Statistics, Algorithmic, Software Engineering
18261	5	Dynamic Structures, Probability, Python, Mathematics
14855	1	Security, Statistics, Python, Algorithmic
10378	1	Web Development, Security
17127	2	Mathematics
16330	4	Statistics, Security, Java
18725	3	Statistics, Static Structures, Design, Web Development, Dynamic Structures
16652	2	Dynamic Structures, Compilation, Security, Algorithmic
15001	5	Algorithmic, Robotics, Security
12485	1	Security
18249	5	Compilation
10071	2	Statistics, Mathematics
13064		Security, Robotics, Mathematics
13209	3	Software Engineering, Mathematics, Robotics, Algorithmic, Static Structures
11790	1	Probability, Robotics
15770	5	Dynamic Structures
16340	1	Security, Static Structures, Algorithmic, Design
13051	2	Web Development, Static Structures, Security
16335	4	Compilation, Algorithmic, C++, Robotics
10372	2	Mathematics, Algorithmic, Probability
19511	2	Probability, Software Engineering, Java, Compilation, Dynamic Structures
19779	2	C++
18082	4	Static Structures, Security
17582	4	Static Structures, Design, Security
15734	4	Compilation, Dynamic Structures, Security, C++
13214	2	Robotics, Java, Probability, Compilation
10134	2	
19581	1	Design, Software Engineering, Compilation, Statistics, Security
11600	5	Probability, Design, Static Structures, Dynamic Structures
19405		Probability, Statistics, Static Structures, Dynamic Structures, Design
12708	5	Static Structures, Dynamic Structures, Probability, Design
13757		Statistics, Compilation
11641	3	Dynamic Structures, Compilation
15695	2	Compilation, Mathematics
15029		Mathematics, Statistics, Static Structures, Java, Python
13216	1	Python, Mathematics
13203	1	Web Development, Design, Statistics, Dynamic Structures
14890	2	Statistics, Robotics
12825	5	Dynamic Structures
17595	2	Design, Robotics, C++, Compilation
14863	1	Static Structures, Algorithmic
12992	3	Python, Static Structures, Web Development, Design
12969	4	Dynamic Structures, C++, Robotics
15583	3	Python, Mathematics, Probability
11380	3	Security, Python
10826	1	Python
18087	4	Design
12519	1	
13881	4	Mathematics, Security, Statistics, Python, Probability
12225	2	Compilation, Design, Software Engineering, Security, Probability
14625	4	Compilation
10106		Software Engineering
16321	1	Python, Web Development, Mathematics, Algorithmic, Java
14850	1	Dynamic Structures
15818	4	Mathematics, Statistics, Java, Security, Robotics
18480	5	Java, Mathematics, Security, Python
10833	4	Java
18331	4	C++
15552	4	Python
10697	1	Software Engineering, Robotics
11048	5	Probability, Design, Compilation, Static Structures
15750	5	Mathematics, Dynamic Structures
14807	4	Statistics, Probability, Mathematics
17363	5	Java, Mathematics, Security
16326	3	Python
17817	3	Compilation, Java, Web Development
12078	2	Static Structures
14447	5	Software Engineering, Dynamic Structures, Java, Compilation, Statistics
16207	5	Static Structures, Robotics
12624	5	Software Engineering, Algorithmic
14177	2	Python, Design, Web Development
17805		Mathematics, Robotics
13825	3	Algorithmic, Design
16589	2	Compilation, Web Development, Java
11756	1	Robotics, Design, Algorithmic, Software Engineering, Mathematics
14750		Robotics, Java, Mathematics
14036	4	Security, Robotics, Static Structures, Design
13742	5	C++, Security
11640	1	Python, Design, Mathematics, Security
13453	3	Web Development, Compilation, Java
14097	2	Design, Java, Compilation, Security, Algorithmic
12156	2	Security, Software Engineering, Compilation, Python
15729	1	Software Engineering
17365	1	Mathematics, Dynamic Structures, Algorithmic
10295	1	Design, C++, Static Structures, Probability
14918	1	Compilation
13508	5	Mathematics
17107	2	Software Engineering, Algorithmic, Web Development
18731	3	Dynamic Structures, Probability
13777	3	Compilation, Dynamic Structures, Software Engineering
12300	5	Mathematics, Robotics, Design, C++
19691	3	Algorithmic
13699	2	Security, Mathematics, Algorithmic
11125	1	C++, Probability, Web Development
18519	4	Static Structures, Design, C++, Mathematics, Statistics
14179	5	Software Engineering, Web Development, Design, C++
10970	4	Software Engineering, Mathematics, C++, Probability, Dynamic Structures
15888	5	Compilation, Static Structures, Algorithmic, Python
14068	1	Static Structures
10675	5	Static Structures, Java, Design, Algorithmic, Software Engineering
16478	5	Web Development
15715	4	Java, Probability
11050	2	Robotics
19268	4	Robotics, Software Engineering, Statistics
12879	1	Algorithmic, Java, Dynamic Structures, Mathematics
17492	3	Robotics, Algorithmic
13268	5	Security, Dynamic Structures
12815	1	Software Engineering, Statistics, Design, C++
14879	1	Statistics, Security, Python, Mathematics
11450	5	Static Structures, Probability, Robotics, Dynamic Structures, Design
19023	1	Algorithmic, C++, Robotics
15194	4	Algorithmic, Dynamic Structures, Security
10151	4	Static Structures, Dynamic Structures, Java
14463	1	Static Structures, C++, Java, Design, Robotics
10710	2	Static Structures, Security
10607	3	
10380	1	Algorithmic, Software Engineering, Security
18194	2	C++, Dynamic Structures, Compilation, Security
14141	5	Python
15596	1	Python, Compilation, Security, Static Structures
18769	3	Probability, Software Engineering, Design
12841	4	Design
16961	1	Probability, Python, Robotics, C++, Web Development
18573	5	Mathematics, C++, Robotics, Web Development, Python
17256	4	Dynamic Structures, Java, Security, Probability
16538	1	Python, Web Development, Software Engineering, C++, Static Structures
18867	5	C++, Statistics, Dynamic Structures, Compilation
13030		Web Development
13452	3	Statistics
15513	1	Software Engineering
17666	1	Compilation, Web Development
12677	1	Algorithmic, Statistics, C++, Dynamic Structures, Robotics
14060	3	Dynamic Structures, C++
10991	4	Robotics, Web Development, Java, Algorithmic
19050	3	Web Development, C++, Security
14851	5	Probability, Dynamic Structures, Algorithmic
13009	2	Robotics, Java, Python
14488	5	Probability
13436	1	Static Structures, Statistics, C++, Algorithmic, Java
11866	3	Dynamic Structures, Statistics, Java, Robotics, Web Development
16482	3	Static Structures, Algorithmic, Mathematics, Dynamic Structures, Web Development
13308	2	Software Engineering, Mathematics
11369	5	Security, Java
17767	3	Probability, Robotics, Python
11285	4	C++, Design, Compilation, Security
19908	3	
11928	3	Robotics, Design
19630	5	Probability, Compilation, Statistics, Algorithmic, Software Engineering
16842	2	Design, Security
13889	4	Security, Software Engineering, Algorithmic, Compilation, Static Structures
12431	3	Robotics, Web Development, Design, Static Structures
18229	1	Security, Statistics, Java
10967	1	Python, Java, Algorithmic, Mathematics
15285		Software Engineering, Mathematics
10579	2	Security, C++
18077	4	Mathematics, Compilation
19184	2	Security, Design, Web Development, Dynamic Structures, Software Engineering
13528	2	Software Engineering
13283	4	
10681	1	Statistics, Algorithmic
16389	2	Probability, Static Structures
13665	4	Software Engineering, Java
11745	2	Probability, C++, Mathematics
14614	3	Static Structures, Algorithmic, Statistics, Design, Compilation
18724	2	Probability, Java, Design, Mathematics
15390	1	Python
14817	3	Static Structures
19963	3	Statistics, Algorithmic, Design, C++, Web Development
12889	3	Statistics, Compilation
12106	4	Mathematics
15185	2	Static Structures, Python
12228	1	Probability, Algorithmic, Static Structures, Software Engineering, C++
11240	4	Web Development
12097	5	Probability, Software Engineering
13006	1	Mathematics, Dynamic Structures
17195	2	Python, Java, Security, Dynamic Structures, Compilation
10922	1	Dynamic Structures, Java, Security, Probability
15793	5	Mathematics
17095	5	Web Development
14734	2	Web Development, Dynamic Structures, Algorithmic, Robotics, Java
17020	4	Java, Statistics
14827	2	Python, Security, Probability
13630		Probability
13357	1	
15097	3	Probability, Software Engineering, Static Structures, Dynamic Structures
13028	1	Design
15725	1	
13676	5	Python
10239	3	C++, Security, Python, Probability
17603	1	Security, Software Engineering, Robotics
14272	5	Probability, Web Development, Dynamic Structures, Static Structures
18488	4	Java
